nohup: ignoring input
Loading files from: ../data/training_set/*/*.jpg
Image Shape: (256, 256, 3) | Generator Latent Dimension: 200 | Discriminator Latent Dimension: 20
Starting Training:
163,0.071,0.085, 0.067,733,
164,0.096,0.067, 0.082,737,
165,0.090,0.074, 0.083,742,
166,0.085,0.081, 0.074,746,
167,0.078,0.071, 0.082,750,
168,0.094,0.080, 0.088,754,
169,0.089,0.078, 0.075,759,
170,0.082,0.114, 0.092,763,
171,0.080,0.100, 0.114,767,
172,0.079,0.094, 0.084,772,
173,0.083,0.104, 0.078,776,
174,0.090,0.086, 0.090,780,
175,0.074,0.085, 0.078,784,
176,0.074,0.081, 0.068,789,
177,0.080,0.080, 0.078,793,
178,0.081,0.074, 0.070,797,
179,0.084,0.078, 0.080,802,
180,0.087,0.075, 0.084,806,
181,0.086,0.073, 0.081,810,
182,0.075,0.079, 0.079,815,
183,0.070,0.071, 0.078,819,
184,0.091,0.082, 0.077,823,
185,0.077,0.081, 0.067,827,
186,0.082,0.079, 0.070,832,
187,0.082,0.097, 0.074,836,
188,0.084,0.078, 0.084,840,
189,0.103,0.071, 0.081,844,
190,0.093,0.088, 0.080,849,
191,0.086,0.086, 0.084,861,
192,0.087,0.078, 0.077,865,
193,0.087,0.083, 0.081,869,
194,0.097,0.075, 0.077,873,
195,0.087,0.085, 0.081,878,
196,0.083,0.092, 0.085,882,
197,0.085,0.086, 0.066,886,
198,0.083,0.076, 0.085,890,
199,0.081,0.083, 0.081,895,
200,0.080,0.067, 0.076,899,
201,0.068,0.094, 0.071,903,
202,0.073,0.074, 0.072,907,
203,0.076,0.081, 0.077,912,
204,0.089,0.078, 0.076,916,
205,0.085,0.077, 0.082,920,
206,0.088,0.055, 0.081,925,
207,0.079,0.081, 0.076,929,
208,0.084,0.089, 0.077,933,
209,0.075,0.085, 0.067,937,
210,0.072,0.069, 0.061,942,
211,0.056,0.078, 0.050,946,
212,0.088,0.088, 0.079,950,
213,0.082,0.094, 0.077,955,
214,0.081,0.078, 0.079,959,
215,0.057,0.074, 0.060,963,
216,0.078,0.074, 0.068,967,
217,0.093,0.075, 0.076,972,
218,0.064,0.053, 0.067,976,
219,0.076,0.085, 0.075,980,
220,0.079,0.090, 0.072,984,
221,0.088,0.095, 0.080,989,
222,0.081,0.062, 0.080,993,
223,0.095,0.064, 0.083,997,
224,0.086,0.071, 0.090,1002,
225,0.071,0.084, 0.065,1006,
226,0.078,0.073, 0.080,1010,
227,0.071,0.091, 0.068,1014,
228,0.068,0.077, 0.067,1019,
229,0.084,0.067, 0.079,1023,
230,0.078,0.074, 0.068,1027,
231,0.086,0.089, 0.079,1031,
232,0.080,0.077, 0.077,1036,
233,0.078,0.080, 0.069,1040,
234,0.076,0.084, 0.069,1044,
235,0.064,0.089, 0.063,1049,
236,0.077,0.087, 0.069,1053,
237,0.079,0.095, 0.077,1057,
238,0.096,0.086, 0.080,1061,
239,0.064,0.084, 0.052,1066,
240,0.080,0.100, 0.078,1070,
241,0.100,0.084, 0.077,1074,
242,0.091,0.078, 0.076,1079,
243,0.083,0.070, 0.076,1083,
244,0.082,0.071, 0.079,1087,
245,0.083,0.091, 0.079,1091,
246,0.080,0.084, 0.076,1096,
247,0.067,0.083, 0.071,1100,
248,0.078,0.090, 0.072,1104,
249,0.077,0.073, 0.071,1109,
250,0.092,0.077, 0.077,1113,
251,0.077,0.076, 0.072,1117,
252,0.096,0.074, 0.087,1121,
253,0.069,0.082, 0.068,1126,
254,0.068,0.074, 0.064,1130,
255,0.096,0.069, 0.079,1134,
256,0.075,0.085, 0.072,1138,
257,0.089,0.089, 0.083,1143,
258,0.106,0.089, 0.087,1147,
259,0.093,0.082, 0.083,1151,
260,0.069,0.088, 0.072,1156,
261,0.083,0.084, 0.081,1160,
262,0.083,0.083, 0.083,1164,
263,0.069,0.076, 0.072,1168,
264,0.088,0.086, 0.087,1173,
265,0.064,0.065, 0.064,1177,
266,0.088,0.090, 0.078,1181,
267,0.071,0.079, 0.068,1185,
268,0.073,0.071, 0.073,1190,
269,0.076,0.086, 0.073,1194,
270,0.082,0.070, 0.075,1198,
271,0.079,0.080, 0.069,1203,
272,0.075,0.088, 0.076,1207,
273,0.068,0.076, 0.064,1211,
274,0.073,0.091, 0.067,1215,
